Timestamp,How important is easy access to public transportation?,"How important is it for a neighborhood to be ""driver-friendly""? (many major roads, parking available)",How important is it for walking/biking to be a viable form of transportation in a neighborhood?,How important is affordable housing in a neighborhood?,How important is housing occupancy? (most homes occupied/not vacant),How important is long-term residency? (people tend to stay there for a longer period of time),How important is it for a neighborhood to be fairly drug-free? (low drug violations),How important is it for a neighborhood to have a low theft rate?
11/13/21 16:59,5,5,5,5,3,3,5,5
11/13/21 17:05,5,3,4,4,3,2,3,5
11/13/21 17:14,3,5,5,5,3,1,5,5
11/13/21 17:15,4,4,5,4,2,3,4,5
11/13/21 17:15,5,4,4,5,3,5,3,3
11/13/21 17:17,5,5,4,5,4,5,5,5
11/13/21 17:18,4,3,5,5,3,3,3,4
11/13/21 17:20,5,2,4,5,2,2,5,5
11/13/21 17:21,5,4,4,4,3,2,3,3
11/13/21 17:22,4,3,5,5,3,4,3,5
11/13/21 17:35,5,3,4,5,3,4,3,5
11/13/21 17:45,4,3,5,5,4,4,4,5
11/13/21 17:48,4,4,4,5,5,5,5,5
11/13/21 17:50,5,5,4,5,2,4,4,5
11/13/21 17:52,4,3,3,5,5,3,4,5
11/13/21 17:53,5,4,5,5,4,5,5,5
11/13/21 18:01,4,2,5,3,5,4,5,5
11/13/21 18:02,4,4,5,5,3,3,5,5
11/13/21 18:08,5,2,5,5,5,5,3,4
11/13/21 18:12,5,4,5,5,3,3,5,5
11/13/21 18:14,5,4,5,5,2,4,4,5
11/13/21 18:22,4,4,5,5,4,5,5,5
11/13/21 18:31,5,3,5,5,5,3,5,5
11/13/21 18:31,5,3,5,4,3,3,5,5
11/13/21 18:38,5,3,4,1,5,2,4,4
11/13/21 18:40,4,3,4,4,4,3,5,5
11/13/21 18:52,5,3,4,5,3,5,4,5
11/13/21 18:54,4,3,4,4,4,4,5,5
11/13/21 18:57,5,4,4,5,2,3,2,4
11/13/21 18:57,4,3,3,5,4,2,2,4
11/13/21 18:58,3,3,3,5,3,3,4,4
11/13/21 19:00,5,5,5,5,5,5,5,5
11/13/21 19:00,5,4,4,5,4,4,5,5
11/13/21 19:07,5,5,5,5,5,5,5,5
11/13/21 19:08,4,3,4,2,5,4,5,5
11/13/21 19:12,5,4,5,5,3,3,5,5
11/13/21 19:12,5,2,5,5,3,2,1,5
11/13/21 19:18,4,5,5,5,3,2,5,4
11/13/21 19:21,4,5,4,3,3,4,4,4
11/13/21 19:22,4,2,5,5,4,2,3,3
11/13/21 19:49,3,4,5,5,4,5,4,5
11/13/21 20:00,4,4,4,5,5,4,4,5
11/13/21 20:28,3,4,2,5,4,2,4,4
11/13/21 20:43,5,1,5,5,3,2,4,5
11/13/21 20:48,4,3,5,5,2,5,5,5
11/13/21 20:49,4,2,4,5,4,2,3,3
11/13/21 20:52,4,5,3,5,4,4,,5
11/13/21 20:57,5,3,5,5,4,3,4,5
11/13/21 21:01,4,3,3,3,5,2,2,3
11/13/21 21:08,4,3,4,3,2,3,4,4
11/13/21 21:08,5,4,5,4,5,4,5,5
11/13/21 21:14,5,5,4,5,4,3,5,3
11/13/21 21:35,5,4,4,5,4,4,4,5
11/13/21 21:43,3,4,4,3,4,4,4,4
11/13/21 21:47,2,4,3,4,4,3,4,5
11/13/21 23:05,4,4,4,4,2,2,5,5
11/13/21 23:30,4,5,4,5,4,2,5,5
11/13/21 23:33,5,3,5,4,2,5,3,3
11/14/21 0:14,5,5,5,5,3,3,5,5
11/14/21 0:28,5,5,5,5,5,3,2,5
11/14/21 0:47,4,5,4,5,4,3,3,4
11/14/21 0:48,5,4,5,5,3,3,4,5
11/14/21 1:19,3,5,4,4,3,4,3,3
11/14/21 2:27,5,2,5,5,5,4,5,5
11/14/21 9:15,4,4,5,4,3,3,3,4
11/14/21 10:55,5,4,5,5,4,1,2,3
11/14/21 12:22,4,3,4,4,5,2,3,5
11/14/21 12:55,5,4,5,4,3,2,3,5
11/14/21 23:59,5,5,5,5,5,4,5,5
11/15/21 0:02,4,4,3,4,4,4,3,5
11/15/21 0:09,5,5,3,5,4,3,1,3
11/15/21 0:09,4,4,4,5,3,5,4,5
11/15/21 0:15,4,3,5,3,3,2,2,4
11/15/21 0:24,4,4,4,5,4,3,5,5
11/15/21 0:24,4,4,3,5,4,4,5,5
11/15/21 0:31,3,4,4,5,3,4,5,4
11/15/21 1:00,5,4,5,5,5,5,3,4
11/15/21 1:05,5,3,5,5,5,3,4,5
11/15/21 1:07,4,4,4,3,4,4,3,4
11/15/21 1:11,5,5,5,5,4,5,5,5
11/15/21 1:15,5,4,5,5,4,3,4,4
11/15/21 1:32,4,5,4,4,4,3,3,3
11/15/21 6:40,5,5,5,3,4,2,1,5
11/15/21 6:47,4,4,5,5,5,5,4,5
11/15/21 7:22,1,1,1,1,1,5,1,1
11/15/21 8:29,5,5,5,5,5,5,5,5
11/15/21 9:59,4,5,4,4,3,4,5,5
,4.344827586,3.75862069,4.333333333,4.494252874,3.67816092,3.425287356,3.895348837,4.494252874
